case_id,timestamp,backend,input_dtype,M,D,F,E,BM,BF,group_pattern,group_sizes,estimated_problem_memory_gib,max_group_size,programs_per_expert,active_programs_Q,launched_programs,inactive_programs,grid_utilization,processed_token_slots,padded_rows,row_utilization,padding_overhead_fraction,padding_overhead_percent,padding_overcompute_factor,hidden_chunks_F_over_BF,useful_flops,actual_fused_flops,padding_extra_flops,reference_min_bytes,fused_min_bytes,hidden_activation_bytes,hidden_intermediate_mib,hidden_write_read_saved_bytes,memory_saved_fraction,memory_saved_percent,fused_no_cache_bytes,fused_tile_upper_bytes,minimum_weight_bytes,no_cache_weight_bytes,weight_reread_factor_no_cache,reference_ideal_ai_flops_per_byte,fused_ideal_effective_ai_flops_per_byte,fused_ideal_actual_ai_flops_per_byte,fused_no_cache_actual_ai_flops_per_byte,fused_per_program_ai_flops_per_byte,fused_large_F_ai_approximation,expansion_ratio_F_over_D,token_to_expert_hidden_ratio_M_over_EF,fraction_of_asymptotic_benefit,fraction_of_asymptotic_benefit_percent,asymptotic_max_memory_speedup,ideal_memory_speedup,logical_tile_shared_bytes,inferred_one_extra_stage_shared_bytes,max_absolute_error,mean_absolute_error,l2_relative_error,normalized_max_error,reference_is_finite,fused_is_finite,numerically_acceptable,ref_compile_plus_first_ms,ref_mean_ms,ref_median_ms,ref_min_ms,ref_max_ms,ref_std_ms,ref_p10_ms,ref_p90_ms,ref_cv_percent,ref_run_times_ms,fused_compile_plus_first_ms,fused_mean_ms,fused_median_ms,fused_min_ms,fused_max_ms,fused_std_ms,fused_p10_ms,fused_p90_ms,fused_cv_percent,fused_run_times_ms,speedup_ref_over_fused,predicted_fused_ms_from_memory_model,fused_vs_predicted_latency_ratio,prediction_error_percent,speedup_as_fraction_of_ideal,speedup_percent_of_ideal,speedup_gap_from_ideal,incremental_fusion_benefit_fraction,ref_tokens_per_second,fused_tokens_per_second,ref_effective_tflops,fused_effective_tflops,fused_actual_tflops,ref_minimum_traffic_gbps,fused_minimum_traffic_gbps,fused_no_cache_traffic_gbps
f518b054c1de60a0,2026-07-09T18:29:08.361298+00:00,gpu,float32,128,128,512,4,32,32,balanced,"[32, 32, 32, 32]",0.0032135257497429,32,"[1, 1, 1, 1]",4,4,0,1.0,128,0,1.0,0.0,0.0,1.0,16,33554432,33554432,0,2752512,2228224,262144,0.25,524288,0.1904761904761904,19.047619047619047,2228224,2228224,2097152,2097152,1.0,12.19047619047619,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,16.0,4.0,0.0625,0.0588235294117647,5.88235294117647,5.0,1.2352941176470589,69632,86016,9.806454181671144e-05,7.762432687741239e-07,5.431176759884693e-06,3.0096456612227485e-05,True,True,True,323.020013,0.1408659,0.1424145,0.130823,0.153883,0.007562061285787,0.1309031,0.1515457,5.368269599517766,"[0.144126, 0.142415, 0.151286, 0.142801, 0.142414, 0.153883, 0.133284, 0.130912, 0.130823, 0.136715]",401.510789,0.096587,0.0949,0.087503,0.109615,0.0070801101403862,0.0902264,0.1087591,7.330293041906505,"[0.109615, 0.108664, 0.097378, 0.092107, 0.099246, 0.093871, 0.090529, 0.095929, 0.091028, 0.087503]",1.5006796628029504,0.1152879285714285,0.823156432559226,-17.684356744077405,1.2148359175071504,121.48359175071504,-0.2653855451558915,2.1278885669125387,898784.8849660674,1348788.1981032663,0.2356110648845447,0.3535767334035827,0.3535767334035827,19.32747016631031,23.479704952581667,23.479704952581667
b8d1a5cb509a2ab1,2026-07-09T18:30:46.193036+00:00,gpu,float32,128,128,512,4,8,32,mild,"[27, 30, 34, 37]",0.0032135257497429,37,"[4, 4, 5, 5]",18,20,2,0.9,144,16,0.8888888888888888,0.125,12.5,1.125,16,33554432,37748736,4194304,2752512,2228224,262144,0.25,524288,0.1904761904761904,19.047619047619047,9568256,9584640,2097152,9437184,4.5,12.19047619047619,15.058823529411764,16.941176470588236,3.945205479452055,3.9384615384615382,4.0,4.0,0.0625,0.0588235294117647,5.88235294117647,5.0,1.2352941176470589,41984,58368,5.745887756347656e-05,7.410217222059146e-07,3.2427262794954004e-06,2.1764912162325345e-05,True,True,True,321.511383,0.1024862,0.098201,0.092197,0.137788,0.0133028580673477,0.0926605,0.1134448,12.98014568531937,"[0.11074, 0.101802, 0.092943, 0.092197, 0.092712, 0.104141, 0.09294, 0.104999, 0.137788, 0.0946]",308.211289,0.0953903,0.0905354999999999,0.089212,0.124595,0.0103002560070126,0.0896629,0.1016179999999999,10.798011964542138,"[0.124595, 0.098275, 0.091631, 0.090319, 0.089212, 0.099065, 0.090022, 0.090497, 0.089713, 0.090574]",1.0846684449746231,0.0794960476190476,1.138867940125205,13.886794012520529,0.8780649316461236,87.80649316461236,0.1506256726724355,0.3598408911421491,1303449.0483803626,1413810.0524103804,0.3416913473386218,0.3706218223790667,0.4169495501764501,28.02936833637132,24.611605392359905,105.68512903778075
91af2fd4e084c209,2026-07-09T18:27:47.397642+00:00,gpu,float32,128,128,512,4,8,16,one_dominant,"[88, 14, 13, 13]",0.0032135257497429,88,"[11, 2, 2, 2]",17,44,27,0.3863636363636363,136,8,0.9411764705882352,0.0625,6.25,1.0625,32,33554432,35651584,2097152,2752512,2228224,262144,0.25,524288,0.1904761904761904,19.047619047619047,9043968,9052160,2097152,8912896,4.25,12.19047619047619,15.058823529411764,16.0,3.942028985507247,3.9384615384615382,4.0,4.0,0.0625,0.0588235294117647,5.88235294117647,5.0,1.2352941176470589,25088,33280,8.225440979003906e-06,5.199909764996846e-07,1.0907996284004184e-06,3.0298112960736034e-06,True,True,True,898.046128,0.139612,0.1404004999999999,0.125887,0.153784,0.0098229599714139,0.1279174,0.1520353,7.03589947240489,"[0.153784, 0.151841, 0.130848, 0.128143, 0.144395, 0.125887, 0.14988, 0.138675, 0.142126, 0.130541]",257.248931,0.0989428999999999,0.0978785,0.090639,0.111249,0.00617259897369,0.0928683,0.1071999,6.238546650330742,"[0.111249, 0.101248, 0.10675, 0.093116, 0.09626, 0.093508, 0.090639, 0.095183, 0.101979, 0.099497]",1.43443657187227,0.1136575476190476,0.861170261460021,-13.882973853997903,1.1612105581823138,116.12105581823135,-0.1991424542252111,1.8463554304571472,911677.6649655808,1307743.7843857436,0.2389908298047372,0.3428171866140163,0.3642432607773923,19.604716507419848,22.76520379858702,92.39994482955908
c3bd1b524347a807,2026-07-09T18:30:26.659226+00:00,gpu,float32,128,128,512,4,8,16,skewed,"[68, 29, 18, 13]",0.0032135257497429,68,"[9, 4, 3, 2]",18,36,18,0.5,144,16,0.8888888888888888,0.125,12.5,1.125,32,33554432,37748736,4194304,2752512,2228224,262144,0.25,524288,0.1904761904761904,19.047619047619047,9568256,9584640,2097152,9437184,4.5,12.19047619047619,15.058823529411764,16.941176470588236,3.945205479452055,3.9384615384615382,4.0,4.0,0.0625,0.0588235294117647,5.88235294117647,5.0,1.2352941176470589,25088,33280,5.543231964111328e-05,7.839128670639184e-07,3.304793381175841e-06,2.01039802050218e-05,True,True,True,329.539066,0.1069425,0.1000385,0.094767,0.140577,0.013832511798296,0.0951684,0.1195952999999999,12.934531919766297,"[0.110108, 0.11667, 0.098686, 0.140577, 0.117264, 0.098766, 0.096063, 0.101311, 0.095213, 0.094767]",259.771593,0.099214,0.096041,0.091508,0.113968,0.0077283122348932,0.0926888,0.1131112,7.789538003601512,"[0.113968, 0.096027, 0.113016, 0.096055, 0.102521, 0.094454, 0.098429, 0.091508, 0.09282, 0.093342]",1.0416228485750878,0.0809835476190476,1.1859322396171592,18.593223961715918,0.8432184964655473,84.32184964655472,0.193671269071971,0.1768971064441231,1279507.3896549828,1332764.131985298,0.3354151851537158,0.3493761206151539,0.3930481356920482,27.514526907140752,23.20075800960007,99.626784394165
6c288373f5b6691d,2026-07-09T18:25:31.020091+00:00,gpu,float32,256,128,512,4,8,32,balanced,"[64, 64, 64, 64]",0.0037903077900409,64,"[8, 8, 8, 8]",32,32,0,1.0,256,0,1.0,0.0,0.0,1.0,16,67108864,67108864,0,3407872,2359296,524288,0.5,1048576,0.3076923076923077,30.76923076923077,17039360,17039360,2097152,16777216,8.0,19.692307692307693,28.444444444444443,28.444444444444443,3.9384615384615382,3.9384615384615382,4.0,4.0,0.125,0.1111111111111111,11.11111111111111,5.0,1.4444444444444444,41984,58368,0.0001073777675628,7.62222271077917e-07,4.328802333475323e-06,3.719217056641355e-05,True,True,True,106.580853,0.1351308,0.129636,0.119904,0.162644,0.0122336859351546,0.1253166,0.1509737,9.05321801924848,"[0.162644, 0.140073, 0.149677, 0.128632, 0.130107, 0.129165, 0.138551, 0.126637, 0.125918, 0.119904]",304.856988,0.1015404,0.0997155,0.094315,0.111959,0.005667796312501,0.0953671,0.1084256,5.581814048891877,"[0.10639, 0.10094, 0.111959, 0.105138, 0.09744, 0.097214, 0.094315, 0.108033, 0.098491, 0.095484]",1.3000586669073515,0.089748,1.1110609707180104,11.106097071801033,0.9000406155512434,90.00406155512434,0.1443857775370929,0.6751320005415409,1974760.09750378,2567303.979822595,0.5176715110000308,0.6730033344866144,0.6730033344866144,26.28800641797032,23.66027347804504,170.87975289699193
14efa44aaf379e66,2026-07-09T18:31:55.093481+00:00,gpu,float32,256,128,512,4,32,16,mild,"[55, 61, 67, 73]",0.0037903077900409,73,"[2, 2, 3, 3]",10,12,2,0.8333333333333334,320,64,0.8,0.25,25.0,1.25,32,67108864,83886080,16777216,3407872,2359296,524288,0.5,1048576,0.3076923076923077,30.76923076923077,5505024,5570560,2097152,5242880,2.5,19.692307692307693,28.444444444444443,35.55555555555556,15.238095238095235,15.058823529411764,16.0,4.0,0.125,0.1111111111111111,11.11111111111111,5.0,1.4444444444444444,51200,59392,1.7799437046051025e-05,6.269686991799972e-07,1.6270522564809653e-06,6.0309944274195004e-06,True,True,True,106.96841,0.1003748,0.0947975,0.091884,0.119317,0.0097514370100001,0.0922602,0.1131493,9.71502509594053,"[0.119317, 0.11188, 0.100545, 0.112464, 0.095707, 0.093094, 0.092302, 0.092667, 0.093888, 0.091884]",348.89102,0.1302879,0.1255525,0.120995,0.148009,0.0092608185863885,0.1212659,0.1416352,7.10796519583827,"[0.148009, 0.13954, 0.125363, 0.12254, 0.140927, 0.1233, 0.121296, 0.120995, 0.135167, 0.125742]",0.7550427112164234,0.0656290384615384,1.913063225413235,91.30632254132348,0.5227218769959855,52.27218769959855,0.689401733228021,-0.5511538997630474,2700493.1564650964,2038987.674478804,0.7079180780083862,0.5345083849385716,0.6681354811732143,35.948964898863366,18.79131040799665,43.8463909519922
2afc5bdd92bea6b5,2026-07-09T18:35:36.826086+00:00,gpu,float32,256,128,512,4,8,16,one_dominant,"[178, 26, 26, 26]",0.0037903077900409,178,"[23, 4, 4, 4]",35,92,57,0.3804347826086957,280,24,0.9142857142857144,0.09375,9.375,1.09375,32,67108864,73400320,6291456,3407872,2359296,524288,0.5,1048576,0.3076923076923077,30.76923076923077,18612224,18636800,2097152,18350080,8.75,19.692307692307693,28.444444444444443,31.11111111111111,3.943661971830986,3.9384615384615382,4.0,4.0,0.125,0.1111111111111111,11.11111111111111,5.0,1.4444444444444444,25088,33280,7.87973403930664e-05,6.102977181399183e-07,3.243012770326459e-06,2.5647836082498543e-05,True,True,True,107.273974,0.119538,0.11689,0.110356,0.145265,0.0103170542404312,0.1111597,0.1307875999999999,8.630773679023598,"[0.129179, 0.145265, 0.117489, 0.117027, 0.112148, 0.110356, 0.12423, 0.111249, 0.111684, 0.116753]",256.856471,0.0957926999999999,0.093983,0.089475,0.108938,0.0058380463007756,0.0908817,0.10442,6.094458451192657,"[0.108938, 0.095717, 0.092058, 0.103918, 0.094582, 0.097095, 0.093384, 0.089475, 0.091722, 0.091038]",1.2437355691986849,0.0809238461538461,1.1613758424349578,16.137584243495784,0.8610477017529357,86.10477017529357,0.2007088752457595,0.548405030697041,2190093.250064163,2723896.874966749,0.57411980494482,0.7140532223912835,0.7809957119904665,29.15452134485414,25.103433599693563,198.03819839758256
d344780a3e8c8dda,2026-07-09T18:24:37.927258+00:00,gpu,float32,256,128,512,4,32,32,skewed,"[137, 58, 36, 25]",0.0037903077900409,137,"[5, 2, 2, 1]",10,20,10,0.5,320,64,0.8,0.25,25.0,1.25,16,67108864,83886080,16777216,3407872,2359296,524288,0.5,1048576,0.3076923076923077,30.76923076923077,5505024,5570560,2097152,5242880,2.5,19.692307692307693,28.444444444444443,35.55555555555556,15.238095238095235,15.058823529411764,16.0,4.0,0.125,0.1111111111111111,11.11111111111111,5.0,1.4444444444444444,69632,86016,0.0001190304756164,8.009675411813078e-07,4.70213444714318e-06,3.759017999982461e-05,True,True,True,1031.270611,0.1465122,0.1410755,0.128369,0.177561,0.0158872468653319,0.1302869,0.1696095,10.84363409008393,"[0.139486, 0.150141, 0.168726, 0.177561, 0.128369, 0.142665, 0.132334, 0.1305, 0.137671, 0.157669]",402.106385,0.09855,0.095756,0.090315,0.109275,0.0070950756585113,0.091665,0.1090869,7.199467943694906,"[0.108136, 0.09694, 0.109066, 0.098697, 0.094572, 0.109275, 0.093479, 0.093205, 0.091815, 0.090315]",1.4732810476628095,0.0976676538461538,0.9804269502657956,-1.957304973420452,1.019963802228099,101.99638022280988,-0.0288366032183651,1.0648823572413215,1814631.1726699537,2673461.7151927813,0.4756946741283923,0.7008319478674965,0.8760399348343706,24.15637017058242,24.638623167216675,57.49012072350557
885dc1a2f62b8ed2,2026-07-09T18:26:42.097346+00:00,gpu,float32,512,128,512,4,32,32,balanced,"[128, 128, 128, 128]",0.0049438728019595,128,"[4, 4, 4, 4]",16,16,0,1.0,512,0,1.0,0.0,0.0,1.0,16,134217728,134217728,0,4718592,2621440,1048576,1.0,2097152,0.4444444444444444,44.44444444444444,8912896,8912896,2097152,8388608,4.0,28.444444444444443,51.2,51.2,15.058823529411764,15.058823529411764,16.0,4.0,0.25,0.2,20.0,5.0,1.8,69632,86016,1.919269561767578e-05,3.2826210372149944e-07,1.3580879567598458e-06,7.113984793249983e-06,True,True,True,106.292652,0.1192114,0.117339,0.111959,0.140217,0.0078632659779508,0.1120409,0.1244715,6.596068813847413,"[0.119869, 0.11851, 0.116168, 0.140217, 0.121613, 0.115039, 0.111959, 0.122722, 0.113967, 0.11205]",405.213273,0.1019356,0.097582,0.095448,0.130168,0.0101212883883426,0.0954749999999999,0.1100593,9.929100714904962,"[0.107825, 0.096994, 0.130168, 0.099987, 0.095478, 0.095448, 0.102818, 0.095655, 0.096813, 0.09817]",1.202465618659179,0.0651883333333333,1.4969242962697824,49.692429626978246,0.6680364548106549,66.80364548106549,0.5975343813408212,0.2530820233239736,4363425.630012187,5246869.299665922,1.143845848353915,1.3754353056916235,1.3754353056916235,40.21333060619232,26.86397081428952,91.33750076858436
e09a3a0bdfbe5744,2026-07-09T18:31:07.502302+00:00,gpu,float32,512,128,512,4,32,32,mild,"[109, 122, 134, 147]",0.0049438728019595,147,"[4, 4, 5, 5]",18,20,2,0.9,576,64,0.8888888888888888,0.125,12.5,1.125,16,134217728,150994944,16777216,4718592,2621440,1048576,1.0,2097152,0.4444444444444444,44.44444444444444,9961472,10027008,2097152,9437184,4.5,28.444444444444443,51.2,57.6,15.157894736842104,15.058823529411764,16.0,4.0,0.25,0.2,20.0,5.0,1.8,69632,86016,0.0001660585403442,4.0361840092373313e-07,3.242898856115062e-06,5.321480057318695e-05,True,True,True,105.399404,0.1053317,0.1019375,0.097254,0.121189,0.0080520994535586,0.098217,0.1178284,7.644516753796514,"[0.112143, 0.121189, 0.102363, 0.103613, 0.101512, 0.098324, 0.117455, 0.09997, 0.099494, 0.097254]",408.875437,0.0949293,0.093256,0.089,0.107413,0.0060787386693293,0.089378,0.1054276,6.403437789311996,"[0.105207, 0.093704, 0.092248, 0.107413, 0.095223, 0.089, 0.08942, 0.089524, 0.094746, 0.092808]",1.0930932057990903,0.0566319444444444,1.6467031269160026,64.67031269160026,0.607274003221717,60.7274003221717,0.7069067942009095,0.1163665072488631,5022685.469037401,5490263.361070601,1.3166668595953404,1.4392395985244917,1.6191445483400533,46.28906928264868,28.110148408681475,106.81856395298962
